"","ID","gene"
"1","57406","ABHD6"
"2","10059","DNM1L"
"3","4925","NUCB2"
"4","1616","DAXX"
"5","79600","TCTN1"
"6","23325","WASHC4"
"7","23139","MAST2"
"8","1465","CSRP1"
"9","1950","EGF"
"10","2264","FGFR4"
"11","7866","IFRD2"
"12","8914","TIMELESS"
"13","7905","REEP5"
"14","4891","SLC11A2"
"15","6443","SGCB"
"16","79006","METRN"
"17","5900","RALGDS"
"18","949","SCARB1"
"19","4067","LYN"
"20","5257","PHKB"
"21","51116","MRPS2"
"22","23658","LSM5"
"23","8202","NCOA3"
"24","3988","LIPA"
"25","2817","GPC1"
"26","55256","ADI1"
"27","10513","APPBP2"
"28","10450","PPIE"
"29","54205","CYCS"
"30","7296","TXNRD1"
"31","178","AGL"
"32","23670","CEMIP2"
"33","2309","FOXO3"
"34","1662","DDX10"
"35","51024","FIS1"
"36","10732","TCFL5"
"37","1277","COL1A1"
"38","2048","EPHB2"
"39","9690","UBE3C"
"40","10058","ABCB6"
"41","2778","GNAS"
"42","3312","HSPA8"
"43","56940","DUSP22"
"44","501","ALDH7A1"
"45","55127","HEATR1"
"46","1666","DECR1"
"47","3693","ITGB5"
"48","51070","NOSIP"
"49","2017","CTTN"
"50","2810","SFN"
"51","6304","SATB1"
"52","2887","GRB10"
"53","4998","ORC1"
"54","5743","PTGS2"
"55","57804","POLD4"
"56","6774","STAT3"
"57","8508","NIPSNAP1"
"58","142","PARP1"
"59","7874","USP7"
"60","8446","DUSP11"
"61","10845","CLPX"
"62","54512","EXOSC4"
"63","4043","LRPAP1"
"64","10525","HYOU1"
"65","5096","PCCB"
"66","5373","PMM2"
"67","55033","FKBP14"
"68","3383","ICAM1"
"69","4282","MIF"
"70","5106","PCK2"
"71","9641","IKBKE"
"72","23097","CDK19"
"73","51599","LSR"
"74","4860","PNP"
"75","8996","NOL3"
"76","2690","GHR"
"77","1017","CDK2"
"78","4303","FOXO4"
"79","1021","CDK6"
"80","1026","CDKN1A"
"81","9686","VGLL4"
"82","6696","SPP1"
"83","5788","PTPRC"
"84","9126","SMC3"
"85","5699","PSMB10"
"86","3964","LGALS8"
"87","22934","RPIA"
"88","10270","AKAP8"
"89","51056","LAP3"
"90","5982","RFC2"
"91","5287","PIK3C2B"
"92","10165","SLC25A13"
"93","1398","CRK"
"94","5111","PCNA"
"95","6676","SPAG4"
"96","6988","TCTA"
"97","65123","INTS3"
"98","10898","CPSF4"
"99","7750","ZMYM2"
"100","10276","NET1"
"101","10273","STUB1"
"102","976","ADGRE5"
"103","51282","SCAND1"
"104","55129","ANO10"
"105","29916","SNX11"
"106","2042","EPHA3"
"107","1514","CTSL"
"108","80349","SKIC8"
"109","5018","OXA1L"
"110","10227","MFSD10"
"111","5438","POLR2I"
"112","226","ALDOA"
"113","7690","ZNF131"
"114","9670","IPO13"
"115","3303","HSPA1A"
"116","3909","LAMA3"
"117","5873","RAB27A"
"118","10245","TIMM17B"
"119","8869","ST3GAL5"
"120","572","BAD"
"121","29763","PACSIN3"
"122","30","ACAA1"
"123","29890","RBM15B"
"124","1983","EIF5"
"125","6597","SMARCA4"
"126","10892","MALT1"
"127","622","BDH1"
"128","23386","NUDCD3"
"129","6050","RNH1"
"130","3337","DNAJB1"
"131","8349","H2BC21"
"132","5927","KDM5A"
"133","9988","DMTF1"
"134","1459","CSNK2A2"
"135","2625","GATA3"
"136","840","CASP7"
"137","8727","CTNNAL1"
"138","6616","SNAP25"
"139","55008","HERC6"
"140","10153","CEBPZ"
"141","348","APOE"
"142","10730","YME1L1"
"143","9097","USP14"
"144","9183","ZW10"
"145","26128","KIFBP"
"146","1845","DUSP3"
"147","51569","UFM1"
"148","9712","USP6NL"
"149","3638","INSIG1"
"150","7106","TSPAN4"
"151","10797","MTHFD2"
"152","6810","STX4"
"153","50810","HDGFL3"
"154","2353","FOS"
"155","25805","BAMBI"
"156","10051","SMC4"
"157","23013","SPEN"
"158","8826","IQGAP1"
"159","5019","OXCT1"
"160","83743","GRWD1"
"161","26227","PHGDH"
"162","10057","ABCC5"
"163","727","C5"
"164","6118","RPA2"
"165","7016","TESK1"
"166","11232","POLG2"
"167","6119","RPA3"
"168","10782","ZNF274"
"169","9851","KIAA0753"
"170","6697","SPR"
"171","11004","KIF2C"
"172","10776","ARPP19"
"173","85377","MICALL1"
"174","11137","PWP1"
"175","5566","PRKACA"
"176","3122","HLA-DRA"
"177","6790","AURKA"
"178","84617","TUBB6"
"179","11284","PNKP"
"180","533","ATP6V0B"
"181","6990","DYNLT3"
"182","5054","SERPINE1"
"183","1759","DNM1"
"184","1111","CHEK1"
"185","1445","CSK"
"186","22926","ATF6"
"187","5300","PIN1"
"188","8985","PLOD3"
"189","8480","RAE1"
"190","998","CDC42"
"191","1070","CETN3"
"192","596","BCL2"
"193","2063","NR2F6"
"194","9517","SPTLC2"
"195","57149","LYRM1"
"196","8573","CASK"
"197","2184","FAH"
"198","7027","TFDP1"
"199","23077","MYCBP2"
"200","93487","MAPK1IP1L"
"201","23443","SLC35A3"
"202","23463","ICMT"
"203","847","CAT"
"204","54957","TXNL4B"
"205","7319","UBE2A"
"206","9926","LPGAT1"
"207","27244","SESN1"
"208","3156","HMGCR"
"209","207","AKT1"
"210","7867","MAPKAPK3"
"211","4931","NVL"
"212","7158","TP53BP1"
"213","79902","NUP85"
"214","6813","STXBP2"
"215","466","ATF1"
"216","9181","ARHGEF2"
"217","51495","HACD3"
"218","1846","DUSP4"
"219","22887","FOXJ3"
"220","85236","H2BC12"
"221","4851","NOTCH1"
"222","55111","PLEKHJ1"
"223","60493","FASTKD5"
"224","7157","TP53"
"225","26511","CHIC2"
"226","8624","PSMG1"
"227","89910","UBE3B"
"228","55958","KLHL9"
"229","5708","PSMD2"
"230","55179","FAIM"
"231","200734","SPRED2"
"232","2770","GNAI1"
"233","29083","GTPBP8"
"234","10972","TMED10"
"235","5986","RFNG"
"236","6909","TBX2"
"237","79643","CHMP6"
"238","26520","TIMM9"
"239","9813","EFCAB14"
"240","4616","GADD45B"
"241","6275","S100A4"
"242","27109","DMAC2L"
"243","23224","SYNE2"
"244","5883","RAD9A"
"245","1153","CIRBP"
"246","54541","DDIT4"
"247","9128","PRPF4"
"248","3300","DNAJB2"
"249","664","BNIP3"
"250","80347","COASY"
"251","51422","PRKAG2"
"252","84890","ADO"
"253","55608","ANKRD10"
"254","2597","GAPDH"
"255","10670","RRAGA"
"256","6461","SHB"
"257","54850","FBXL12"
"258","2523","FUT1"
"259","9650","MTFR1"
"260","4154","MBNL1"
"261","9270","ITGB1BP1"
"262","23223","RRP12"
"263","1509","CTSD"
"264","891","CCNB1"
"265","1452","CSNK1A1"
"266","9276","COPB2"
"267","51097","SCCPDH"
"268","9212","AURKB"
"269","10644","IGF2BP2"
"270","6894","TARBP1"
"271","51026","GOLT1B"
"272","10285","SMNDC1"
"273","8396","PIP4K2B"
"274","22796","COG2"
"275","29937","NENF"
"276","54505","DHX29"
"277","10150","MBNL2"
"278","6804","STX1A"
"279","994","CDC25B"
"280","6195","RPS6KA1"
"281","23522","KAT6B"
"282","3091","HIF1A"
"283","58497","PRUNE1"
"284","3566","IL4R"
"285","22889","KHDC4"
"286","7994","KAT6A"
"287","4200","ME2"
"288","55699","IARS2"
"289","2954","GSTZ1"
"290","1956","EGFR"
"291","4864","NPC1"
"292","291","SLC25A4"
"293","54442","KCTD5"
"294","7043","TGFB3"
"295","9702","CEP57"
"296","8878","SQSTM1"
"297","11188","NISCH"
"298","8895","CPNE3"
"299","5899","RALB"
"300","57215","THAP11"
"301","79921","TCEAL4"
"302","6919","TCEA2"
"303","1831","TSC22D3"
"304","5909","RAP1GAP"
"305","11182","SLC2A6"
"306","51053","GMNN"
"307","4850","CNOT4"
"308","23200","ATP11B"
"309","7082","TJP1"
"310","26020","LRP10"
"311","1891","ECH1"
"312","10451","VAV3"
"313","5654","HTRA1"
"314","84722","PSRC1"
"315","10174","SORBS3"
"316","5836","PYGL"
"317","5796","PTPRK"
"318","2146","EZH2"
"319","5223","PGAM1"
"320","1062","CENPE"
"321","3800","KIF5C"
"322","9842","PLEKHM1"
"323","5525","PPP2R5A"
"324","27346","TMEM97"
"325","27095","TRAPPC3"
"326","27242","TNFRSF21"
"327","79187","FSD1"
"328","2958","GTF2A2"
"329","47","ACLY"
"330","256364","EML3"
"331","3066","HDAC2"
"332","902","CCNH"
"333","10180","RBM6"
"334","2896","GRN"
"335","5290","PIK3CA"
"336","6251","RSU1"
"337","323","APBB2"
"338","55604","CARMIL1"
"339","8312","AXIN1"
"340","9738","CCP110"
"341","5607","MAP2K5"
"342","6856","SYPL1"
"343","79094","CHAC1"
"344","4638","MYLK"
"345","2115","ETV1"
"346","2065","ERBB3"
"347","10775","POP4"
"348","9267","CYTH1"
"349","9695","EDEM1"
"350","29082","CHMP4A"
"351","10559","SLC35A1"
"352","835","CASP2"
"353","2131","EXT1"
"354","5716","PSMD10"
"355","5289","PIK3C3"
"356","4144","MAT2A"
"357","200081","TXLNA"
"358","836","CASP3"
"359","9053","MAP7"
"360","3162","HMOX1"
"361","9847","C2CD5"
"362","57192","MCOLN1"
"363","79947","DHDDS"
"364","5050","PAFAH1B3"
"365","9488","PIGB"
"366","51382","ATP6V1D"
"367","1958","EGR1"
"368","3682","ITGAE"
"369","9903","KLHL21"
"370","1802","DPH2"
"371","813","CALU"
"372","11000","SLC27A3"
"373","26136","TES"
"374","11157","LSM6"
"375","11072","DUSP14"
"376","23011","RAB21"
"377","1861","TOR1A"
"378","1029","CDKN2A"
"379","80204","FBXO11"
"380","9709","HERPUD1"
"381","329","BIRC2"
"382","10606","PAICS"
"383","55793","MINDY1"
"384","5831","PYCR1"
"385","637","BID"
"386","8821","INPP4B"
"387","10962","MLLT11"
"388","25932","CLIC4"
"389","8444","DYRK3"
"390","1385","CREB1"
"391","3280","HES1"
"392","22794","CASC3"
"393","3098","HK1"
"394","81544","GDPD5"
"395","6184","RPN1"
"396","79080","CCDC86"
"397","5468","PPARG"
"398","2956","MSH6"
"399","1019","CDK4"
"400","10857","PGRMC1"
"401","310","ANXA7"
"402","5997","RGS2"
"403","9448","MAP4K4"
"404","79143","MBOAT7"
"405","9854","C2CD2L"
"406","392","ARHGAP1"
"407","10491","CRTAP"
"408","55011","PIH1D1"
"409","25839","COG4"
"410","10013","HDAC6"
"411","5696","PSMB8"
"412","54623","PAF1"
"413","5770","PTPN1"
"414","11098","PRSS23"
"415","25966","C2CD2"
"416","64943","NT5DC2"
"417","8243","SMC1A"
"418","23038","WDTC1"
"419","10765","KDM5B"
"420","23","ABCF1"
"421","30001","ERO1A"
"422","4893","NRAS"
"423","22823","MTF2"
"424","10131","TRAP1"
"425","124583","CANT1"
"426","1001","CDH3"
"427","7020","TFAP2A"
"428","79090","TRAPPC6A"
"429","11319","ECD"
"430","23499","MACF1"
"431","55746","NUP133"
"432","10523","CHERP"
"433","1123","CHN1"
"434","25","ABL1"
"435","56924","PAK6"
"436","80758","PRR7"
"437","64429","ZDHHC6"
"438","5721","PSME2"
"439","10329","RXYLT1"
"440","4846","NOS3"
"441","2553","GABPB1"
"442","3978","LIG1"
"443","5480","PPIC"
"444","5583","PRKCH"
"445","51021","MRPS16"
"446","7466","WFS1"
"447","128","ADH5"
"448","9455","HOMER2"
"449","79850","TLCD3A"
"450","11031","RAB31"
"451","6390","SDHB"
"452","3315","HSPB1"
"453","3611","ILK"
"454","332","BIRC5"
"455","23131","GPATCH8"
"456","10904","BLCAP"
"457","11073","TOPBP1"
"458","6117","RPA1"
"459","51005","AMDHD2"
"460","9133","CCNB2"
"461","5467","PPARD"
"462","4792","NFKBIA"
"463","9653","HS2ST1"
"464","26036","ZNF451"
"465","7416","VDAC1"
"466","10190","TXNDC9"
"467","93594","TBC1D31"
"468","102","ADAM10"
"469","2769","GNA15"
"470","63874","ABHD4"
"471","64080","RBKS"
"472","672","BRCA1"
"473","27032","ATP2C1"
"474","9093","DNAJA3"
"475","23210","JMJD6"
"476","581","BAX"
"477","6009","RHEB"
"478","5641","LGMN"
"479","55556","ENOSF1"
"480","8518","ELP1"
"481","22809","ATF5"
"482","51293","CD320"
"483","55748","CNDP2"
"484","5880","RAC2"
"485","29928","TIMM22"
"486","10320","IKZF1"
"487","644","BLVRA"
"488","23149","FCHO1"
"489","11344","TWF2"
"490","6182","MRPL12"
"491","5427","POLE2"
"492","823","CAPN1"
"493","8884","SLC5A6"
"494","8520","HAT1"
"495","10318","TNIP1"
"496","6193","RPS5"
"497","23365","ARHGEF12"
"498","147179","WIPF2"
"499","10617","STAMBP"
"500","6499","SKIC2"
"501","10434","LYPLA1"
"502","63933","MCUR1"
"503","11044","TENT4A"
"504","6709","SPTAN1"
"505","9833","MELK"
"506","7099","TLR4"
"507","10610","ST6GALNAC2"
"508","10298","PAK4"
"509","23271","CAMSAP2"
"510","3597","IL13RA1"
"511","9112","MTA1"
"512","23647","ARFIP2"
"513","9805","SCRN1"
"514","3108","HLA-DMA"
"515","10007","GNPDA1"
"516","54438","GFOD1"
"517","965","CD58"
"518","51719","CAB39"
"519","8553","BHLHE40"
"520","808","CALM3"
"521","55893","ZNF395"
"522","652","BMP4"
"523","9943","OXSR1"
"524","6603","SMARCD2"
"525","26993","AKAP8L"
"526","25874","MPC2"
"527","958","CD40"
"528","81533","ITFG1"
"529","51465","UBE2J1"
"530","2113","ETS1"
"531","9221","NOLC1"
"532","6850","SYK"
"533","1870","E2F2"
"534","22827","PUF60"
"535","8837","CFLAR"
"536","2542","SLC37A4"
"537","23300","ATMIN"
"538","4125","MAN2B1"
"539","5498","PPOX"
"540","28969","BZW2"
"541","1978","EIF4EBP1"
"542","64428","CIAO3"
"543","9924","PAN2"
"544","831","CAST"
"545","25803","SPDEF"
"546","1981","EIF4G1"
"547","8731","RNMT"
"548","2908","NR3C1"
"549","1738","DLD"
"550","8804","CREG1"
"551","64746","ACBD3"
"552","4582","MUC1"
"553","8851","CDK5R1"
"554","7165","TPD52L2"
"555","55825","PECR"
"556","9710","GARRE1"
"557","90861","JPT2"
"558","5321","PLA2G4A"
"559","1534","CYB561"
"560","4312","MMP1"
"561","595","CCND1"
"562","1788","DNMT3A"
"563","4216","MAP3K4"
"564","2356","FPGS"
"565","54386","TERF2IP"
"566","10813","UTP14A"
"567","6464","SHC1"
"568","7511","XPNPEP1"
"569","899","CCNF"
"570","10398","MYL9"
"571","9797","TATDN2"
"572","55148","UBR7"
"573","11142","PKIG"
"574","10915","TCERG1"
"575","5110","PCMT1"
"576","2961","GTF2E2"
"577","51635","DHRS7"
"578","8574","AKR7A2"
"579","9134","CCNE2"
"580","10099","TSPAN3"
"581","51203","NUSAP1"
"582","8324","FZD7"
"583","3385","ICAM3"
"584","30836","DNTTIP2"
"585","23335","WDR7"
"586","2288","FKBP4"
"587","1994","ELAVL1"
"588","8550","MAPKAPK5"
"589","58472","SQOR"
"590","10652","YKT6"
"591","9467","SH3BP5"
"592","4088","SMAD3"
"593","64781","CERK"
"594","22905","EPN2"
"595","51031","GLOD4"
"596","7159","TP53BP2"
"597","11230","PRAF2"
"598","10818","FRS2"
"599","388650","DIPK1A"
"600","5993","RFX5"
"601","58533","SNX6"
"602","5580","PRKCD"
"603","4232","MEST"
"604","3508","IGHMBP2"
"605","23212","RRS1"
"606","56889","TM9SF3"
"607","6777","STAT5B"
"608","23588","KLHDC2"
"609","6599","SMARCC1"
"610","10969","EBNA1BP2"
"611","6714","SRC"
"612","3251","HPRT1"
"613","51170","HSD17B11"
"614","10810","WASF3"
"615","2946","GSTM2"
"616","1454","CSNK1E"
"617","1635","DCTD"
"618","5925","RB1"
"619","2745","GLRX"
"620","6253","RTN2"
"621","10493","VAT1"
"622","9552","SPAG7"
"623","10589","DRAP1"
"624","9817","KEAP1"
"625","1829","DSG2"
"626","2624","GATA2"
"627","4775","NFATC3"
"628","3329","HSPD1"
"629","7398","USP1"
"630","2771","GNAI2"
"631","6812","STXBP1"
"632","642","BLMH"
"633","6284","S100A13"
"634","7048","TGFBR2"
"635","7376","NR1H2"
"636","8050","PDHX"
"637","2886","GRB7"
"638","9761","MLEC"
"639","9519","TBPL1"
"640","39","ACAT2"
"641","9170","LPAR2"
"642","26292","MYCBP"
"643","57048","PLSCR3"
"644","51385","ZNF589"
"645","5355","PLP2"
"646","11014","KDELR2"
"647","1605","DAG1"
"648","8321","FZD1"
"649","355","FAS"
"650","5985","RFC5"
"651","50865","HEBP1"
"652","3454","IFNAR1"
"653","5777","PTPN6"
"654","843","CASP10"
"655","23597","ACOT9"
"656","1050","CEBPA"
"657","5601","MAPK9"
"658","9016","SLC25A14"
"659","1676","DFFA"
"660","10206","TRIM13"
"661","2037","EPB41L2"
"662","5236","PGM1"
"663","5867","RAB4A"
"664","10046","MAMLD1"
"665","23244","PDS5A"
"666","2109","ETFB"
"667","10237","SLC35B1"
"668","211","ALAS1"
"669","55324","ABCF3"
"670","50813","COPS7A"
"671","29978","UBQLN2"
"672","116832","RPL39L"
"673","30849","PIK3R4"
"674","5627","PROS1"
"675","2548","GAA"
"676","10973","ASCC3"
"677","4208","MEF2C"
"678","3206","HOXA10"
"679","1027","CDKN1B"
"680","55847","CISD1"
"681","4776","NFATC4"
"682","868","CBLB"
"683","10953","TOMM34"
"684","10681","GNB5"
"685","22908","SACM1L"
"686","22883","CLSTN1"
"687","2222","FDFT1"
"688","8440","NCK2"
"689","23029","RBM34"
"690","10557","RPP38"
"691","5331","PLCB3"
"692","9246","UBE2L6"
"693","3925","STMN1"
"694","22841","RAB11FIP2"
"695","7088","TLE1"
"696","5898","RALA"
"697","6659","SOX4"
"698","9917","FAM20B"
"699","4791","NFKB2"
"700","6839","SUV39H1"
"701","55038","CDCA4"
"702","3775","KCNK1"
"703","10695","CNPY3"
"704","5971","RELB"
"705","55837","EAPP"
"706","23635","SSBP2"
"707","701","BUB1B"
"708","2673","GFPT1"
"709","54733","SLC35F2"
"710","51071","DERA"
"711","9143","SYNGR3"
"712","3157","HMGCS1"
"713","8204","NRIP1"
"714","10921","RNPS1"
"715","25793","FBXO7"
"716","60528","ELAC2"
"717","5357","PLS1"
"718","4482","MSRA"
"719","57019","CIAPIN1"
"720","9491","PSMF1"
"721","1022","CDK7"
"722","5108","PCM1"
"723","23321","TRIM2"
"724","79961","DENND2D"
"725","7358","UGDH"
"726","991","CDC20"
"727","5921","RASA1"
"728","3815","KIT"
"729","8091","HMGA2"
"730","1643","DDB2"
"731","23536","ADAT1"
"732","5255","PHKA1"
"733","11151","CORO1A"
"734","10641","NPRL2"
"735","8974","P4HA2"
"736","10954","PDIA5"
"737","4605","MYBL2"
"738","54499","TMCO1"
"739","5792","PTPRF"
"740","9637","FEZ2"
"741","3202","HOXA5"
"742","9533","POLR1C"
"743","7849","PAX8"
"744","6194","RPS6"
"745","6342","SCP2"
"746","665","BNIP3L"
"747","780","DDR1"
"748","23076","RRP1B"
"749","7982","ST7"
"750","5529","PPP2R5E"
"751","53343","NUDT9"
"752","960","CD44"
"753","3553","IL1B"
"754","9124","PDLIM1"
"755","56997","COQ8A"
"756","4836","NMT1"
"757","5359","PLSCR1"
"758","5058","PAK1"
"759","7074","TIAM1"
"760","51466","EVL"
"761","9918","NCAPD2"
"762","23368","PPP1R13B"
"763","51335","NGRN"
"764","5747","PTK2"
"765","50814","NSDHL"
"766","23161","SNX13"
"767","23512","SUZ12"
"768","9217","VAPB"
"769","4794","NFKBIE"
"770","11007","CCDC85B"
"771","387","RHOA"
"772","9375","TM9SF2"
"773","56654","NPDC1"
"774","79716","NPEPL1"
"775","375346","STIMATE"
"776","9703","BLTP2"
"777","10362","HMG20B"
"778","6500","SKP1"
"779","23530","NNT"
"780","16","AARS1"
"781","5547","PRCP"
"782","8870","IER3"
"783","79170","PRR15L"
"784","10682","EBP"
"785","1213","CLTC"
"786","10489","LRRC41"
"787","896","CCND3"
"788","3033","HADH"
"789","2195","FAT1"
"790","57178","ZMIZ1"
"791","7538","ZFP36"
"792","51160","VPS28"
"793","3398","ID2"
"794","29911","HOOK2"
"795","1848","DUSP6"
"796","351","APP"
"797","26054","SENP6"
"798","8503","PIK3R3"
"799","3551","IKBKB"
"800","54881","TEX10"
"801","5347","PLK1"
"802","427","ASAH1"
"803","8720","MBTPS1"
"804","890","CCNA2"
"805","80746","TSEN2"
"806","51001","MTERF3"
"807","51375","SNX7"
"808","154","ADRB2"
"809","80212","CCDC92"
"810","23338","JADE2"
"811","4172","MCM3"
"812","1633","DCK"
"813","6622","SNCA"
"814","7105","TSPAN6"
"815","1906","EDN1"
"816","2534","FYN"
"817","23410","SIRT3"
"818","5891","MOK"
"819","23014","FBXO21"
"820","5710","PSMD4"
"821","1677","DFFB"
"822","695","BTK"
"823","1647","GADD45A"
"824","1212","CLTB"
"825","6915","TBXA2R"
"826","55620","STAP2"
"827","8835","SOCS2"
"828","55012","PPP2R3C"
"829","4793","NFKBIB"
"830","4927","NUP88"
"831","4817","NIT1"
"832","4609","MYC"
"833","9019","MPZL1"
"834","64422","ATG3"
"835","54807","ZNF586"
"836","26001","RNF167"
"837","23326","USP22"
"838","23636","NUP62"
"839","993","CDC25A"
"840","8678","BECN1"
"841","230","ALDOC"
"842","2582","GALE"
"843","9697","TRAM2"
"844","11168","PSIP1"
"845","5154","PDGFA"
"846","7168","TPM1"
"847","5423","POLB"
"848","983","CDK1"
"849","9275","BCL7B"
"850","79073","TMEM109"
"851","3930","LBR"
"852","4651","MYO10"
"853","481","ATP1B1"
"854","23039","XPO7"
"855","54915","YTHDF1"
"856","6832","SUPV3L1"
"857","10668","CGRRF1"
"858","11261","CHP1"
"859","9531","BAG3"
"860","27336","HTATSF1"
"861","148022","TICAM1"
"862","23585","TMEM50A"
"863","3308","HSPA4"
"864","1786","DNMT1"
"865","8900","CCNA1"
"866","9928","KIF14"
"867","5829","PXN"
"868","23659","PLA2G15"
"869","1429","CRYZ"
"870","5782","PTPN12"
"871","4690","NCK1"
"872","51015","ISOC1"
"873","29103","DNAJC15"
"874","2736","GLI2"
"875","6944","VPS72"
"876","23061","TBC1D9B"
"877","11325","DDX42"
"878","11011","TLK2"
"879","79174","CRELD2"
"880","9261","MAPKAPK2"
"881","5261","PHKG2"
"882","23378","RRP8"
"883","7494","XBP1"
"884","1282","COL4A1"
"885","23142","DCUN1D4"
"886","58478","ENOPH1"
"887","10038","PARP2"
"888","5211","PFKL"
"889","6793","STK10"
"890","7015","TERT"
"891","11041","B4GAT1"
"892","7264","GFUS"
"893","25825","BACE2"
"894","2064","ERBB2"
"895","9801","MRPL19"
"896","66008","TRAK2"
"897","10146","G3BP1"
"898","9868","TOMM70"
"899","4780","NFE2L2"
"900","10221","TRIB1"
"901","2767","GNA11"
"902","3628","INPP1"
"903","6347","CCL2"
"904","55818","KDM3A"
"905","10112","KIF20A"
"906","5715","PSMD9"
"907","9688","NUP93"
"908","25976","TIPARP"
"909","3416","IDE"
"910","26064","RAI14"
"911","3895","KTN1"
"912","2274","FHL2"
"913","8061","FOSL1"
"914","4331","MNAT1"
"915","11200","CHEK2"
"916","65057","ACD"
"917","1500","CTNND1"
"918","79071","ELOVL6"
"919","7153","TOP2A"
"920","57761","TRIB3"
"921","6772","STAT1"
"922","2920","CXCL2"
"923","5603","MAPK13"
"924","5440","POLR2K"
"925","3028","HSD17B10"
"926","5092","PCBD1"
"927","5588","PRKCQ"
"928","10049","DNAJB6"
"929","1052","CEBPD"
"930","7852","CXCR4"
"931","2852","GPER1"
"932","7077","TIMP2"
"933","5048","PAFAH1B1"
"934","873","CBR1"
"935","91137","SLC25A46"
"936","91949","COG7"
"937","874","CBR3"
"938","5720","PSME1"
"939","3480","IGF1R"
"940","6657","SOX2"
"941","25987","TSKU"
"942","6908","TBP"
"943","8726","EED"
"944","2185","PTK2B"
"945","8607","RUVBL1"
"946","2058","EPRS1"
"947","5613","PRKX"
"948","5366","PMAIP1"
"949","7485","GET1"
"950","9915","ARNT2"
"951","11065","UBE2C"
"952","2263","FGFR2"
"953","9897","WASHC5"
"954","3725","JUN"
"955","1399","CRKL"
"956","24149","ZNF318"
"957","10494","STK25"
"958","4313","MMP2"
"959","4783","NFIL3"
"960","10123","ARL4C"
"961","3486","IGFBP3"
"962","3482","IGF2R"
"963","9961","MVP"
"964","4016","LOXL1"
"965","57147","SCYL3"
"966","5889","RAD51C"
"967","84159","ARID5B"
"968","6509","SLC1A4"
"969","94239","H2AZ2"
"970","5827","PXMP2"
"971","670","BPHL"
"972","54681","P4HTM"
"973","8800","PEX11A"
"974","8270","LAGE3"
"975","9289","ADGRG1"
"976","51742","ARID4B"
"977","8569","MKNK1"
"978","8318","CDC45"
